ID,Classe,0045ba9867dabb4d4f0d5d8911480147,0221686af4746da2effc4a1db057fe67,05685302f26491324b7d2646bbeade10,061c3a9de3ff152220d022a6f744827a,06c8698bb54ec13842ff1e65f8e9dd7b,08208079dff8dbbee4a10904c390cab6,08894f466c1bed6d7649bb8e50e1e819,0c5172a10432f974bef14d3d9d60f1c8,0da34a5f4980a865ec01739544875f2f,0def74d4e8e2aabd205cda74c41c36ed,13646297630977884d8e985bb802b34d,156c87bc0776aa97c9634b043a25db1e,15934dbacef75abf34b261a4f799d93d,16d7b34a8c6b9c70772a3aa7da394141,176feab0841d1ddb9d79ff30f195e6d1,17a148eaf672bc963e2ece7023f485f5,1983a8f26f2b1be61aa1c87341537d46,1aabb3febae56b4e802a9fb39e34db03,1c42fa7662e060dd8ae4a3c0e4ffb5be,1c896a379ca3a788ccce99ad06b50135,1caac3d14cd4aad4082c256f82db486e,1ffd679477bc7d2f7589b0c9eb2eb700,217c09415d904afc8d0b44f604034f29,22d0df8271bea772035a91f80b0d512b,2690a584fa6d3a0b625e00f1048e9c41,2720969ffddaed7a198c83f7342a96fc,27724bd6275ac55af48c66f206208792,28cb60cd7193706ea8d734aed916031a,2ad04f26ecff1e668f860ab702c823a5,2c312d6434b16aae4ad8fdc8ae02045e,2d89cca6b1d4d4a6a573ea455c742821,2fa67daed9f95f87a25b9b7b29f0c5ea,2fcc158cb2eff6129e25f37c9c0bb8b4,30e329fc7f74431edba5eb24d3b88970,322593f0eb44ff4a150c334c30bf98b4,3355e792f6d683e3b106ff2631240e3b,34512ff54cf4638155bb235245ecadd1,347cc066186a8912fd5c03dde9422a7f,354f515208564f0f4fb4de43bb03d16f,363b2b31671daad965c4ee0af6231bad,36a4f93709b71054059948862713f9c0,36e9f6a4b214b8d1b237262405d4088a,3763650176b5a187214cbba36723d2d8,391f02962b4386a4d9422c488ab610ab,393619624ae8b0b62995cd3f23db30b3,3b18f12ba8f2aa9625e3c7875c2ac1a1,3b1bc2a7e766ceed5eea6ede7c103fd6,3b9a1c4e9c9b6427d61d4577836e30e0,3be6b30ecbd0b689143dea639aae2964,3f84223af44c24bfe24515b060d33e95,3feb452c63e838d876371918af997aae,40495ccbd260984f09d542b5cf738321,40b0c6e30d6d5f89724601a893c2ecfc,41e4a5ead84982f00142c774eed2647b,4241b4d131460440f8a4b2f0b7da0874,44b18556b4be450564a67e738715c0e6,4773fcb91a0f5476a45f9522c517d18f,491f9e9a9f9aa9910460626d964856ae,4a62fc59ff474c8ec1dc02bdb856e008,4d9e1f61d6859263cf023b161f0581b0,4f89cff8a6b15cfdb0b562d7d2149c82,5090bad9421820eb8d5f1afbc8580f4b,534cef7e07556fe514d41ccc06d96554,5ba1bb8b028c82ef025084b591a32786,5bdcbd38ad18dc20220070d561c60f8f,5bdff0c8efe5980f05f8872f4f4a91b1,5d95f6808b54d039f6a50844fc5be906,5dfb65ec05e87c17206bc653de2d4d66,60ce6dd133a05f357957e7ccc30442bf,60f57b1d3cef659a7c89ee5be595b05e,60f5a47712624180cdb3f97a7e965470,626498ff1b5ac6563dc6b73ae5385328,6266b36b366dbbd62e0f7e56a0fc0dcd,641ac0e09b1a89196890c92ce5fc5d6f,672216de4be79a850fec6a25f59583c9,675a1e9ee0bd9112f7c6c243cf1a24b8,68a8c241340d81fde622f22a1bb94335,691cef517d4544eb98fe96196e7c5900,6ebe927a4b9b46a704df5659e2a5340f,6ec4c1255e588ff99f09758797aaca44,6f105a965421b665b916ff7b9e2b4f8e,70695df3b3406d8b875d1e432abe4658,70f85ec78eab5d3591940263622543c4,71081eb003aaf6f70f545671cec18561,7265b519a0a881f24470e052c09d4e1f,7410b3bf82931d99c2e6e72a8b66a81f,761f3f220ef490631fd0897f79bc3b30,7adb3963abf22a239d03d6c126b34fa6,7ae5e8c1897d89001b1b458bf7fe685c,7c01db077beaa1dd6991a65d9de76a02,7c87b9718b16defbc743f846b0c641a5,80a918b6ab6d420a70db3db5c2c590fd,84d55187590b29bd3482f276def7588d,8599ee696498ef4336ae8e2ec2d5e0a2,897f0edcd1b5632cc6fa92156c940930,8bc1d8ac722f114473bdf3a34458ca96,8c2d6dd93fad67b65e05d3ff10758230,8cbc04819a15f4afb27c8f2cb870348b,8dc49c004ab48553e95344532b991f82,9085a9505d02755fff414f869ea1f06a,947b5ca33af9d76c11d1efb2555e5615,9672e6915915c6d28bbce4ae93abe38d,9b39afbf79e3282aa0ef08bf912cdf6a,9cb5abb87be105aca57b64f73109c30f,9ef44e01f7c52ecf6dbd70c12e0bc97e,9f521a4a11e4f8cc8ba95fe420b2dabd,a17350b45c1dddff89ea9b9fb80397c0,a1797621179310289e712453a306dcb6,a1ee1443ea148036da7044c7906ad7a2,a4638868712823620bf9519829947864,a7faa5340a307b72ed0f84261cfd40b4,a8c0db86a51417113db0e3d14b57e745,a9d98e802d3bdc944f969e7e209d7a8b,aa40c539d7021227e34ee6c0a5a2ebc2,abdc535919703dfadbb6a1a7fc1e1e89,ad60864226184113e4c7ebfd147fbd01,ad766efbee71d23c0804f8c50928232d,b19228400aa003c394b5edb322b6d7fc,b2e2789415bd96180567e9119001c135,b35488bad6d72917c2d6cb28e5884e66,b3b0a4c36ec44131aa3079b0e6fcc05a,b4789b735d1a1135de60837e94df39ca,b63a91aee8591d5834514aac34b39f95,b6c6226476ae7d667be91431acca466b,b776abbce43a47b40f1909d21a931a61,b7c1241d0b16d7905a05ec8a922b3d3a,b7c8949102f3214bfa6a42cc56691c4c,b7eebcb579ce1759c31221efedb2bcb7,b9797cb8aa6d90a83682f1dd1aecd41e,baab66db9ed4c45b8f55d6bbada070a1,bcf77a589f106fb86c8e25113b3f9f00,bdaa9a684c731ff2d892e4d0b5e9417d,c0bb5365af73c0a2323d278b3cd97cc8,c1e637f493a9f20d9fc98287791bb445,c232f61c38fc28f3889fb0a399e2b520,c3aab48a304fde5254fbdb91187daed8,c77398cc4b937d56b929f38c4972e503,c785e28dc893c7cc20f0ed4b09c64568,c9b608d0f0372629fc9799fa891a0f74,cb97687fb5f7fa4b233e20dd7042739d,ccc15d6b22bf4cdfbf0243970662da9d,ccec32a49769d71c56b760284aa9196d,ce0dbcfb9ab1ba8061f7d9aca546c89a,d21cc8d642bf62994d459a9ac4efc4ad,d4b20c6da5daac9cbcbb8ffba1d39e39,d67b0f8ccb6f94173fbc3a748fa30325,dd1195840fb53d6b63495c77e90bc6b5,ddf4b341f252ced026d578fdb0bb97be,ddfc65e7d76ebc24bec3e8bd66e017cc,dedc3b239f2e3841d69ec69742a91d42,dee919bf1afd25b3cd5eb4da1b8f95cc,e0053935643a2aff5afd873c65fea95c,e2b2b94123e42c7ea59d125164860af3,e5f8c602955a13b0f212f4e6790026ba,e7bd2b0dc86f91748675e65ac2f17865,e9ac20f0eb05ae386a8fdbcdd483d293,ea320370c2115819a7901e0d8d194907,eac8e7a43968994f58927a254d3f00f3,ec038ee61d5a488fbcd01c2106015252,ec2189ed1e1e282ee0c74e17a8c8a6f3,ecbfddb6f8aab9187cc56bcd9475cf2e,f0600cd4c6507feb032564f23ebf7edb,f1b070a41d9e9a77284dfa2734e91049,f4e225b3ebdae8ccc819c1c56a9e966d,f827c8db603c59a215cba48a5521af26,f85594d40f2c7a5675cf62a4f51bf4e6,fb21aef84fbecf127a7e4f628cb13fb2
GO_Post-E19.gh_rep1,1,1,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,1,0,1,0,0,1,0,1,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,1,0,1,0,1,1,0,1,0,1,1,1,0,1,1,1,0,1,1,0,1,0,0,1,1,1,0,1,0,1,0,0,1,1,0,0,1,1,1,1,0,0,0,1,0,0,1,1,1,1,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1,1,0,0,0,1,1,1,0,1,1,0,0,0,1,0,0,0,1,1,1,1,0,0,1,1,1,0,0,0,1,1,0,1,0,0,1,0,1,1,1,1,0
GO_Post-E19.gh_rep2,1,1,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,1,1,0,1,0,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
GO_Post-E19.gh_rep3,1,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0
GO_Post-E19.gh_rep4,1,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,1,1,0,1,0,1,1,0,0,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,0,0,1,0,0,1,0,1,1,1,0,1,0,0,0,1,1,1,1,0,1,0,1,1,1,0,1,0,1,1,1,0,0,0,1,0,0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0
GO_Post-E19.gh_rep5,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,1,1,0,0,1,0,0,1,0,0,0
PM_Post-E19.gh_rep1,-1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,1,1,1,0,0,0,1,1,1,0,1,1,0,1,1,1,0,1,1,1,0,0,1,1,1,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,1,1,1,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,1,1,1,1,0,0,0,1,0,1,1,0,1,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,1,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,1,1,0,1,0,0,0
PM_Post-E19.gh_rep2,-1,1,0,1,1,1,1,0,1,0,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,0,1,0,0,0,1,1,0,1,1,1,1,0,1,0,1,1,0,0,0,1,1,1,0,1,0,1,1,1,1,0,0,1,1,0,1,0,0,1,0,1,1,1,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,1,0,1,0,0,0,1,1,0,1,1,1,1,1,0,1,0,0,0,1,0,0,1,0,1,1,0,0,1,1,1,1,1,1,1,0
PM_Post-E19.gh_rep3,-1,1,0,1,1,1,1,0,1,1,1,0,0,0,0,1,1,1,1,1,0,1,1,0,0,1,0,0,0,1,1,1,1,0,1,1,1,0,1,1,0,1,0,1,1,1,0,1,1,1,0,1,1,0,1,1,1,0,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,0,0,1,0,1,1,0,1,0,0,1,1,0,1,0,1,1,1,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1,1,1,0,1
PM_Post-E19.gh_rep4,-1,1,0,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1,1,0,1,1,0,1,0,0,0,1,0,1,0,1,1,1,0,0,1,0,1,1,0,0,0,0,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,0,0,1,0,1,1,1,0,1,1,0,0,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,0,1,1,0,0,1,1,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1
PM_Post-E19.gh_rep5,-1,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,0,1,1,1,1,1,1,0,1,1,0,0,0,0,1,1,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,0,1,1,0,1,0,0,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,1,1,1,0,0,0,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,0,1,1,0,0,1,0,0,1,1,1,1,0,0,1,1,1,1,1,1,0,1
