OTU_ID,Taxon
0045ba9867dabb4d4f0d5d8911480147,D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rickettsiales;D_4__Mitochondria;D_5__uncultured bacterium;D_6__;D_7__;D_8__;D_9__;D_10__;D_11__;D_12__;D_13__;D_14__
023eb0fe1d34795ef5626b5374d5c7a0,D_0__Bacteria;D_1__Proteobacteria;D_2__Deltaproteobacteria;D_3__Desulfovibrionales;D_4__Desulfovibrionaceae;D_5__Halodesulfovibrio
05754abc58ca10452ebfc48a7bf15ac8,D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhodobacterales;D_4__Rhodobacteraceae;D_5__Litorimicrobium;D_6__uncultured alpha proteobacterium;D_7__;D_8__;D_9__;D_10__;D_11__;D_12__;D_13__;D_14__
061c3a9de3ff152220d022a6f744827a,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Oceanospirillales;D_4__Endozoicomonadaceae;D_5__Endozoicomonas
06c8698bb54ec13842ff1e65f8e9dd7b,D_0__Bacteria;D_1__Tenericutes;D_2__Mollicutes;D_3__Mycoplasmatales;D_4__Mycoplasmataceae;D_5__Mycoplasma;D_6__bacterium WH8-10;D_7__;D_8__;D_9__;D_10__;D_11__;D_12__;D_13__;D_14__
08208079dff8dbbee4a10904c390cab6,D_0__Bacteria;D_1__Spirochaetes;D_2__Spirochaetia;D_3__Spirochaetales;D_4__Spirochaetaceae;D_5__uncultured
08894f466c1bed6d7649bb8e50e1e819,D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rickettsiales
08fd9610cfe9eb87597b5d293ae8a8b8,D_0__Bacteria;D_1__Firmicutes;D_2__Clostridia;D_3__Clostridiales
0c5172a10432f974bef14d3d9d60f1c8,D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Flavobacteriales
0cb63846abeaecda292ac424938ec950,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Vibrionales;D_4__Vibrionaceae;D_5__Vibrio
0da34a5f4980a865ec01739544875f2f,D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rickettsiales;D_4__Mitochondria;D_5__uncultured bacterium;D_6__;D_7__;D_8__;D_9__;D_10__;D_11__;D_12__;D_13__;D_14__
0eaed54edc47ac7c59f12757dcc14993,D_0__Bacteria;D_1__Tenericutes;D_2__Mollicutes;D_3__Mycoplasmatales;D_4__Mycoplasmataceae;D_5__uncultured;D_6__uncultured bacterium;D_7__;D_8__;D_9__;D_10__;D_11__;D_12__;D_13__;D_14__
10276ad920c1b487ea925964a0fe7f07,D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Bacteroidales;D_4__Marinifilaceae;D_5__uncultured;D_6__uncultured marine bacterium;D_7__;D_8__;D_9__;D_10__;D_11__;D_12__;D_13__;D_14__
116d2c0a000e4afc7a015a68e16eb4d8,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Vibrionales;D_4__Vibrionaceae;D_5__Vibrio;D_6__Vibrio mediterranei;D_7__;D_8__;D_9__;D_10__;D_11__;D_12__;D_13__;D_14__
