ID,Classe,0079a42233893e477d75a87baa9693d8,02110c6aed0a3448382247aa7c886e07,03be70e1d7055cf3faec8e7ede98f274,061c3a9de3ff152220d022a6f744827a,08208079dff8dbbee4a10904c390cab6,08894f466c1bed6d7649bb8e50e1e819,0c67518b93988787f049970233dd8897,0df56b40b21a5118a8e11e2d840058ca,0f17b2c0954bc26fde587360c7c22c89,10276ad920c1b487ea925964a0fe7f07,113cbf5e2aeb0f509cbfd6b0df5f48b9,13fb2daae81fc03061104cd28fcd9ea2,14f6b085a55546ec0b3c77d6f51f8a3d,1535935d40ba3a3e7111386b0719b748,1a15b07c02abee60bafceb90f5a1bc60,1c896a379ca3a788ccce99ad06b50135,1ec0d853f3bdc344e235f8fdd88fa43b,1f2df9321f53cc9ea27a8b2e48aba5e2,2292473f360649490a9a4f78d24c478b,22b1fa4faea8ec618ac603f995a822ea,22d0df8271bea772035a91f80b0d512b,265b6bb275b6f233ecbcd258c2f8fa3e,26e62ba0e686dc9b90f6433bf6e99b0d,2b7428c6d655a2c6f8b814ccd9284797,2b94e8bd6450d603ed20a337ad679e7f,2c188b74beefd80e1f2bad5e35d8a871,2f8af4b007d11a0ac505cfcceb8a747a,32bd566792cd3aad95892efd57a84106,333523f37c812e7bafe0780f66d68668,34a95402b898125415bef59e042aa0d9,371a60442111914b4a0a068c6466466d,3aff9783bed1e7c3492353d62a6b4f36,3b24f9d08538b97ac608d6fb77616f1b,3c5ef761913cd52322c77efb6019f93a,3eb381c10a505a7d206788b29a728611,3f111c299792654fc9fb105ef3d02b61,3f9b23edcbbcb585a0112d5a716e03ca,4005403f2e5f159d87dd5f8eedaa0e87,4010674d0096a1b0d61a7d5ed8215638,40b0c6e30d6d5f89724601a893c2ecfc,4233f66e88667278a18cbeade7e2d4a7,4335eb38c0b15bf9019213b5639221fc,4693d2ce964dfe2effd506202ae5d0df,47e5ad4e1d90566db3fb2c51b9c510c2,485a0a5bb1e43b5dfb86636a255cecc0,4a62fc59ff474c8ec1dc02bdb856e008,4ce0b32c4a7861c79d57dfdad082a50e,4f89cff8a6b15cfdb0b562d7d2149c82,5090bad9421820eb8d5f1afbc8580f4b,51e3db1acc26149eff33fa70a85df773,534cef7e07556fe514d41ccc06d96554,53a33bf5029bae50d784eeee93e1033a,56b79a3c6373f249320be1ef6c70f153,5b7c0b2d78f9091d1acbbe117400aa7a,5df71beddfff5bfab5b1010813d1303c,5e17523a2abb285e2582a8e20421eaf5,600a46e4ad5195ed4b24271937786bc2,60f5a47712624180cdb3f97a7e965470,62450b077db6f6765af1757a3d38e79c,673986bce115a400246ead80900154f3,675a1e9ee0bd9112f7c6c243cf1a24b8,691b10f5ee0804f18518f3aeed705a0f,6f105a965421b665b916ff7b9e2b4f8e,71081eb003aaf6f70f545671cec18561,719409b1a7f5fb55bc1a96cf7a7d9430,72cdd21a388616465137e868da591d67,75ed4d2732c413906dd93d254fc5200b,762f6c7f948127c594398b7bc16129df,78d3a33068333a8453092740782b3a70,7adb3963abf22a239d03d6c126b34fa6,7c87b9718b16defbc743f846b0c641a5,7d72a2917b4c6fe53c7d0d07a7869118,81bf37e81a44343ad9a06071113eb750,8216ede920f077fedf6b829490b13f79,8599ee696498ef4336ae8e2ec2d5e0a2,898355cae21d55f9f5d222e4bacf96d2,8998c5835bc18a266489a2216617933d,89a6f9f1ef7c9db0f0cab88d6c2dfd47,8f861caf8b3d006d5e79ef7a62521fbb,8fead4ff62f2f884412d6c0c8d723243,9085a9505d02755fff414f869ea1f06a,9637c475dfc1ceb41b4bd59b09bba802,985bd7adfa391d0256bee2532b4bf728,988e44e1066ea2f954a479333659467b,9ad0f5fb6e9d5bcc26c4dce99607a9b2,9c74e876fe41384edf8ddbaa7b859421,9d34d59a3a2836002a71f34333985010,9f6f37f29d71ed42ee49cdae43838c6a,a17b5e47dbc091edcdaebd933f5e7aa2,a17c7fb448f861b738fa546224acca28,a1ee1443ea148036da7044c7906ad7a2,a2b3a6e87ee49986c0526b43e76a91c8,a4638868712823620bf9519829947864,a48fe0783a3e2648b68999a47f097ab1,a6055397eba12964b68cf117c85f588d,a7d39ba399661b3682122ff73a3c8da4,a8c0db86a51417113db0e3d14b57e745,aba06eda4b7194db41886f961fc6f1f7,ad60864226184113e4c7ebfd147fbd01,b39387df4a735155fe0f4551e73a0ca1,b62604e43912a5ecf97bb40a3ee18aa7,b63a91aee8591d5834514aac34b39f95,b6c6226476ae7d667be91431acca466b,b776abbce43a47b40f1909d21a931a61,ba05ff1905893d40f6c302944e3d91de,bafdd9b34a3034c01adb7c5a7c13cf3e,bcf77a589f106fb86c8e25113b3f9f00,be4fe59576218a72821c863d5433dcde,be9d5eefa31b3c77cde1af5bbae1fbdd,bfbed48b343307fb3860815cfd1e70c5,c11ded18daa3e0b91c46ee9463a629f4,c9f73ddd81741c3b8738891638d02fbe,cf73e64f03cdf5df011fd0c4a5088222,cfc228bb5bba093ef27e1aba4cb37517,d3eb04abea1bfbe76a5ab1852df2250a,d40072a404cf33158ef2ec8e535347f7,d4b20c6da5daac9cbcbb8ffba1d39e39,d67b0f8ccb6f94173fbc3a748fa30325,d7772079c4ec34f08a0a7a5e224f3625,e2163f6f860ca477da7a1103e7e46f29,e570a46b9d8057e8749def1c6126e0b4,e5f8c602955a13b0f212f4e6790026ba,e77dac357ab6a0b2a693bd490bdf87a6,ec16ae4fbbd298f7a109978474adb944,f2b6a591e63450aa1f7206347aa996b2,f75da550ff5b32592b03d115ba1704e4,f78bd6dbeefa25ebe423ad70f2f3eb9f,fa3fa49da2a1275252280e4c71483a0a,fe6c15e99abb3bcc57ec78e5b616fa8b
CL_Post-I19.br_rep1,4,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0
CL_Post-I19.br_rep2,4,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,1,0,0,0
CL_Post-I19.br_rep3,4,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
CL_Post-I19.br_rep4,4,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
CL_Post-I19.br_rep5,4,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,1,1,0,1,0,1,0,0,1,1,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,1,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1
GO_Post-I19.br_rep1,3,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,1,1,0,1,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0
GO_Post-I19.br_rep2,3,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0
GO_Post-I19.br_rep3,3,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
GO_Post-I19.br_rep4,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
GO_Post-I19.br_rep5,3,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
