ID,Classe,0045ba9867dabb4d4f0d5d8911480147,0218b782a197af42ecfba8b17149c4e8,061c3a9de3ff152220d022a6f744827a,06c8698bb54ec13842ff1e65f8e9dd7b,08208079dff8dbbee4a10904c390cab6,08894f466c1bed6d7649bb8e50e1e819,08fd9610cfe9eb87597b5d293ae8a8b8,0cdc7c0a2f9044b9deadeb40777a1d8b,0da34a5f4980a865ec01739544875f2f,0e6f6c7261dde774e4213cb44d96a099,10276ad920c1b487ea925964a0fe7f07,12e666a52ad8f2629658044238cfb000,13aea4e74ef4c620685c10f0b669ab24,14f6b085a55546ec0b3c77d6f51f8a3d,1540b6ef01deb783b5721ff9d08a2bdc,178d2b9eb03515cb001b230271f28e19,17a148eaf672bc963e2ece7023f485f5,1956c1395b65ee3c02f04ee87a860686,1ba0c07091234c7192165257e82ea18b,1c604089327dded5ba4f521b50c111b8,1c7c74bd04aacf151ca72fbb0b7d371d,1c896a379ca3a788ccce99ad06b50135,1caac3d14cd4aad4082c256f82db486e,22d0df8271bea772035a91f80b0d512b,255b9f8c9cc35f2787acb183ade58d06,26e62ba0e686dc9b90f6433bf6e99b0d,2720969ffddaed7a198c83f7342a96fc,28cb60cd7193706ea8d734aed916031a,2a13b3f45dae8a3d5805c01b93da1143,2a54b0ee909b32edc4a77ffdd856e26e,2ad04f26ecff1e668f860ab702c823a5,2c188b74beefd80e1f2bad5e35d8a871,2ca8c0b28de6970fa93c16247421dc23,2d45b6652eb789e80ec06a7bc500dda4,2f8af4b007d11a0ac505cfcceb8a747a,2fcc158cb2eff6129e25f37c9c0bb8b4,31b1b2cfc996b7108cb301ab45127eeb,322593f0eb44ff4a150c334c30bf98b4,333523f37c812e7bafe0780f66d68668,34512ff54cf4638155bb235245ecadd1,34a95402b898125415bef59e042aa0d9,38feb39fe87b04f9d621c52a0ce736a4,3a190ab66141323e30bdf70c7dfaae17,3d925851443aacc0bd3df74e09b9275f,3f111c299792654fc9fb105ef3d02b61,40495ccbd260984f09d542b5cf738321,40b0c6e30d6d5f89724601a893c2ecfc,45a04f61e82f3a130b53808509a6b352,4693d2ce964dfe2effd506202ae5d0df,485a0a5bb1e43b5dfb86636a255cecc0,48738517d0d18e3ba6e3d701b6b7fda1,48797d632c6748e3a5b6bd342ff619a4,4b4a9e7f88375f39cd1f94ebc17e1923,4d9e1f61d6859263cf023b161f0581b0,4f89cff8a6b15cfdb0b562d7d2149c82,4fbd89a10c9696a3d4e18d8bba0679f2,5090bad9421820eb8d5f1afbc8580f4b,56b79a3c6373f249320be1ef6c70f153,5850170dfd977a21d68d31185282ded2,5b7c0b2d78f9091d1acbbe117400aa7a,5bdcbd38ad18dc20220070d561c60f8f,5bdff0c8efe5980f05f8872f4f4a91b1,5d95f6808b54d039f6a50844fc5be906,5e17523a2abb285e2582a8e20421eaf5,600a46e4ad5195ed4b24271937786bc2,62450b077db6f6765af1757a3d38e79c,672216de4be79a850fec6a25f59583c9,675a1e9ee0bd9112f7c6c243cf1a24b8,681e5b1ed4d4e1fb9ad041fdcafa6052,68a8c241340d81fde622f22a1bb94335,6a8814c0f51d68b314b6f35be4bdc989,6bf7d7599cd10b2b717372bae46a4a26,6db1cfc0cb5a20de999e72e5650067de,6e22a940f36b16bbfbd30511d96a06c5,6f0692b71ec419097799c2e2d38242b0,6f105a965421b665b916ff7b9e2b4f8e,70695df3b3406d8b875d1e432abe4658,70f85ec78eab5d3591940263622543c4,71081eb003aaf6f70f545671cec18561,772c6f8655191050757802d9aa3d92fa,78e0f686773ef3d6e7fa23f0eb558dd3,7adb3963abf22a239d03d6c126b34fa6,7c01db077beaa1dd6991a65d9de76a02,7c87b9718b16defbc743f846b0c641a5,7d618a38422a9c5235d162e5770d2617,7d72a2917b4c6fe53c7d0d07a7869118,7e2990930a49f6d81871e7d0df5a5ade,7e4b5db40f3a3665b7b2b4a33ece22ee,80e65831f843802130c331675ccbd85c,81bf37e81a44343ad9a06071113eb750,8599ee696498ef4336ae8e2ec2d5e0a2,87657e22073a1b7c3d1b158552d456e7,8998c5835bc18a266489a2216617933d,89a6f9f1ef7c9db0f0cab88d6c2dfd47,8c0d8ad7316e20f97b6b651703fe46f0,8cbc04819a15f4afb27c8f2cb870348b,8e75b674a0f457dd704afc906294eda3,8f9113b26f302d080fef0a8eade3ac45,8fead4ff62f2f884412d6c0c8d723243,9085a9505d02755fff414f869ea1f06a,90d79cce2999b31bbd38209a4c8d2622,949614e3f8883d9d9cd6b68b6ffbf892,96873e7a63b3953c0760db0d2c770a82,988e44e1066ea2f954a479333659467b,9aaff5cb7046040c6d01c1ee24c5a397,9b1d88816a66400fc4aa518d9e2b4ff9,9cb5abb87be105aca57b64f73109c30f,a1797621179310289e712453a306dcb6,a17b5e47dbc091edcdaebd933f5e7aa2,a1ee1443ea148036da7044c7906ad7a2,a2890ce584fc4a1365cf7a27a41939f8,a346b293f6725a3ca1baf91201b4e4dd,a6055397eba12964b68cf117c85f588d,a7da8a2f10346ec4f78563b135151836,a8c0db86a51417113db0e3d14b57e745,ac3c3a5016db0fe3a4a8fb4b35b0ef53,ad60864226184113e4c7ebfd147fbd01,b02fbe969950ca4020716fcdba11ab78,b2e2789415bd96180567e9119001c135,b3b0a4c36ec44131aa3079b0e6fcc05a,b4ec79e83a250b70e4ece0518d7d88b4,b62604e43912a5ecf97bb40a3ee18aa7,b63a91aee8591d5834514aac34b39f95,b6c6226476ae7d667be91431acca466b,b776abbce43a47b40f1909d21a931a61,ba05ff1905893d40f6c302944e3d91de,bafdd9b34a3034c01adb7c5a7c13cf3e,bcf77a589f106fb86c8e25113b3f9f00,bda4a2ec2738e6007919d90e6b4875c7,be4fe59576218a72821c863d5433dcde,be6fcca2c88696b96143736648cd1f89,be9d5eefa31b3c77cde1af5bbae1fbdd,bfbed48b343307fb3860815cfd1e70c5,c11ded18daa3e0b91c46ee9463a629f4,c1e637f493a9f20d9fc98287791bb445,c40dc8742959f8ac9a704a565b4378f1,c4b6df8b40e8353622c8c80157616f98,c785e28dc893c7cc20f0ed4b09c64568,d15707c74deab909474adb0be5b85346,d159ec7a945780de7b322968fa43d622,d2e6fa27e412c0dbadbb38b1f747c30b,d40072a404cf33158ef2ec8e535347f7,d4b20c6da5daac9cbcbb8ffba1d39e39,d67b0f8ccb6f94173fbc3a748fa30325,d7772079c4ec34f08a0a7a5e224f3625,d7d49dcea7fa21aff3f848b665097101,dee919bf1afd25b3cd5eb4da1b8f95cc,df4c6d29c4adf4628425551e4ddcf923,e0053935643a2aff5afd873c65fea95c,e367589ade8cd7caab21029f36cb51aa,e5f8c602955a13b0f212f4e6790026ba,ea320370c2115819a7901e0d8d194907,eac8e7a43968994f58927a254d3f00f3,eb7cce8554ca359663bf99b74e2457aa,ec16ae4fbbd298f7a109978474adb944,ecbfddb6f8aab9187cc56bcd9475cf2e,f0c940e9b4ededa0002504ebebfc538b,f1fa53e7955f19abfe2227a235806c96,f2b6a591e63450aa1f7206347aa996b2,f4e225b3ebdae8ccc819c1c56a9e966d,f63940d4b0f4a7e320436004b096bef1,f75da550ff5b32592b03d115ba1704e4,f78bd6dbeefa25ebe423ad70f2f3eb9f,f7da5e9bfc0a92e439d01f2c7c6acfe8,f85594d40f2c7a5675cf62a4f51bf4e6,f9ef557740feb1ed15c756fb37344cb1,fa4d4a44bcebd27ab87b33e703b2f12d,fbdfa8d5bee4baa42d9fff7c174ccea0,fdb4e029029e51c10a51e2c6da2eee5f,fe6c15e99abb3bcc57ec78e5b616fa8b
CL_Post-I20.gh_rep1,4,1,0,1,1,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0
CL_Post-I20.gh_rep2,4,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,1,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,1,0,1,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0
CL_Post-I20.gh_rep3,4,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
CL_Post-I20.gh_rep4,4,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,1,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0
CL_Post-I20.gh_rep5,4,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0
GO_Post-I20.gh_rep1,3,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,1,0,1,1,0,0,1,1,0,1,0,0,1,1,1,1,0,1,0,1,1,1,0,0,1,1,0,1,0,0,1,1,1,1,0,0,1,0,1,1,0,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,1,1,0,1,0,0,1,1,1,0,1,1,1,0,0,1,1,1,1,1,0,1,1,0,1,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,1,1,1,0,1,1,0,0,1,1
GO_Post-I20.gh_rep2,3,1,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,1,0,0,1,1,1,0,1,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,1,1,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,1,0
GO_Post-I20.gh_rep3,3,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,1,1,0,1,1,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,1,1,1,0,1,1,1,1,0,0,1,0,0,1,0,1,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,1,1,0,1,0,0,0,0,1,1,1,1,0,1,0,1,1,0,1,1,0,0,1,1,1,1,1,0,1,1,0,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0
GO_Post-I20.gh_rep4,3,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,1,0,0,1,1,0,0,1,1,1,1,1,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,1,1,0,1,1,0,0,1,1,0,0,0,1,0
GO_Post-I20.gh_rep5,3,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,1,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,1,1,1,0,1,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,1,0,1,1,1,0,1,1,0,1,1,0,1,1,0,1,0,1,0,0,1,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,1,0
